"url"	"name"	"distance_from_trail"	"distance_from_mexico"	"cheap_resupply"	"post_office"	"other_info"
"http://planyourhike.com/planning/resup/acton.html"	"Acton PO"	"6 miles"	"Aproximately 444 trail miles"	"No, it's probably cheaper to mail food here."	"The post office is located at 3632 Smith Avenue, and their phone number is (661) 269-8618."	"Take Soledad Canyon Rd east to Acton.  Southbounders might take Hwy 14 east, then take Crown Valley Rd south to the PO (a total of 8.8 miles)."
"http://planyourhike.com/planning/resup/Julian.html"	"Julian PO"	"4.1 miles"	"Aproximately 77 trail miles"	"Yes."	"The post office is located at 1785 Highway 78, and their phone number is (760) 765-3648."	"Follow Hwy 78 west for 4.1 miles."
"http://planyourhike.com/planning/resup/aguadulce.html"	"The Saufley's"	"1 mile"	"Aproximately 454 trail miles"	"No, it's probably cheaper to mail food here."	"better than a post office."	"Mail your package to The Saufley's (address above).  No charge, but be awesome and leave a donation for them."
"http://planyourhike.com/planning/resup/ammaratis.html"	"Ammarati's Market"	"2 miles"	"Aproximately 1506 trail miles"	"No, it's probably cheaper to mail food here."	"ERROR"	""
"http://planyourhike.com/planning/resup/anza.html"	"Anza PO"	"7 miles"	"Aproximately 152 trail miles"	"No, it's probably cheaper to mail food here."	"The post office is located at 38775 Contreras Road and their phone number is (951) 763-2074."	"ERROR"
"http://planyourhike.com/planning/resup/ashlandcity.html"	"Ashland PO"	"13 miles"	"Aproximately 1727 trail miles"	"Yes, there is a Safeway here."	"ERROR"	"The post office is very far from the trail.  Green Springs Inn is much closer, though it has fewer resources.  You may want to use Green Springs Inn instead, unless you plan on buying a lot of food/supplies here."
"http://planyourhike.com/planning/resup/ashlandhostel.html"	"Ashland Hostel"	"13 miles"	"Aproximately 1727 trail miles"	"Yes, there is a Safeway nearby."	"ERROR"	"Ashland Hostel is now under new management. They offer discounted room rates for PCT hikers. Located at 150 North Main St, minutes from the plaza, OSF, and all the great restaurants that Ashland has to offer. Call for information and/or  reservations .  The phone number is (541) 482-9217.   You can email them at: admin@theashlandhostel.com.  They do not accept ressuply boxes because the post office is close by.."
"http://planyourhike.com/planning/resup/belden.html"	"Belden PO"	"1 mile"	"Aproximately 1289 trail miles"	"No, it's probably cheaper to mail food here."	"After you cross the Belden Bridge (northbound) to the highway, you can road walk to the P.O. Then climb up the hill behind the P.O. to the trail.  The phone number to the P.O. is (530) 283-0951.  It is open Mon-Fri 9:00a-1:00p and either Saturday or Sunday for package pickup depending on demand. "	"ERROR"
"http://planyourhike.com/planning/resup/bend.html"	"Bend PO"	"22 miles"	"Aproximately 1990 trail miles"	"Yes "	"The post office is located at 61 Northwest Oregon Avenue.The phone number is (541) 385-7628.  Call to verify address, location, and operating hours."	"Sisters is closer to the trail but may more more expensive since it's a bit more touristy."
"http://planyourhike.com/planning/resup/bigbearcity.html"	"Big Bear City PO"	"5 miles"	"Aproximately 265 trail miles"	"No, it's probably cheaper to mail food here.  See Big Bear Lake nearby for inexepensive grocery stores."	"The post office is located at 120 West Country Club Boulevard and the phone number is (909) 585-7132."	"Take HWY 18 to and from the trail."
